Buisnictis,Buisnictis n. sp. schoffi,7.6000000000000005,7.6000000000000005
Sminthosinis,Sminthosinis bowleri,3.35,3.35
Lontra,Lontra cf. canadensis,1.05,1.05
Meles,Meles n. sp. iberica,1.6845,1.6845
Mustela,Mustela erminea,0.00585,1.05
Pliogale,Pliogale n. sp. furlongi,7.6000000000000005,7.6000000000000005
aff.,aff. Aonyx capensis,3.9605,3.9605
Mustelavus,Mustelavus priscus,35.55,35.55
Enhydriodon,Enhydriodon lluecai,7.0165,7.0165
Plionictis,Plionictis ogygia,11.95,18.2
Martes,Martes foina,0.06885,0.4535
Lutra,Lutra euxena,1.29985,1.29985
Cyrnaonyx,Cyrnaonyx antiqua,0.4535,0.4535
Mionictis,Mionictis angustidens,11.95,11.95
Lutravus,Lutravus n. sp. halli,7.6000000000000005,7.6000000000000005
Mustela,Mustela cf. vison,0.063,1.05
Brachypsalis,Brachypsalis n. sp. matutinus,18.2,18.2
Lutra,Lutra cf. simplicidens,1.29985,1.29985
Mustela,Mustela cf. frenata,0.063,3.35
Martes,Martes cf. foina,0.4535,0.4535
Buisnictis,Buisnictis breviramus,3.35,3.35
